startTime,titleEn,titleKo,titleJa
2025-11-01 04:00:00,Wakamo (Swimsuit) Eleph Farming,와카모(수엉복) 조각작,ワカモ(水着)の神名文字
2025-11-05 11:00:00,Tactical Challenge Reset (Urban),전술대항전 초기화 (시가지),戦術対抗戦リセット (市街地)
2025-11-12 11:00:00,Hidden Legacy (Permanent),숨겨진유산 상시화,隠されし遺産を求めて　常設化
2025-12-17 11:00:00,Academy Club Story (Permanent),학원동인이야기 상시화,学漫同人物語　常設化
2025-12-31 11:00:00,Recollect Recruitment ,리콜렉트 모집,リコレクト募集
2026-01-07 11:00:00,Area 30 Open,30지역 개방,エリア30開放
2026-01-20 04:00:00,Hiyori Eleph Farming,히요리 조각작,ヒヨリの神名文字
2026-02-05 11:00:00,Trip-Trap-Train (Permanent),Trip-Trap-Train 상시화,Trip-Trap-Train　常設化
2026-02-18 11:00:00,Valentine's Promise (two weeks),발렌타인의 약속 (2주간),バレンタインの約束 (2週間)
2026-04-15 11:00:00,Cyber New Year March (Permanent),전뇌신춘행진곡 상시화,電脳新春行進曲　常設化
2026-04-21 11:00:00,Total Assault Simulation,모의 총력전,模縣能力戰
2026-04-21 04:00:00,Miyu Eleph Farming,미유 조각작,ミユの神名文字
2026-05-20 11:00:00,Tactical Challenge Reset (Outdoor),전술대항전 초기화 (야외),戦術対抗戦リセット (屋外)
