startTime,titleEn,titleKo,titleJa,prediction
2025-12-09 11:00:00,The Missing Shrimp's Mystery (Permanent),사라진 새우의 수수깨끼 상시화,消えたエビの謎 常設化
2025-12-16 04:00:00,100 Free Recruits,무료모집 100회,無料100回募集
2025-12-16 04:00:00,Sanon's Battle Pass,사논의 배틀패스,サノンのバトルパス
2025-12-30 04:00:00,Area 29 Open / T10 Gear Added,29지역 개방 10T추가,エリア29開放 T10装備追加
2026-01-13 11:00:00,4★ Bond Rank Cap 30,4성 인연랭 상한 30,★4絆ランク上限30
2026-02-10 11:00:00,Wild Hunt Schedule Added,와일드헌트 스케줄 추가,「ワイルドハント」スケジュール追加
2026-03-24 11:00:00,Tactical Challenge Reset,전술대항전 초기화,戦術対抗戦リセット
2026-03-25 04:00:00,Wakamo (Swimsuit) Eleph Farming,와카모(수엉복) 조각작,ワカモ(水着)の神名文字
2026-03-31 11:00:00,Hidden Legacy (Permanent),숨겨진유산 상시화,隠されし遺産を求めて 常設化
2026-04-07 11:00:00,Academy Club Story (Permanent),학원동인이야기 상시화,学漫同人物語　常設化
2026-05-05 11:00:00,Recollect Recruitment ,리콜렉트 모집,リコレクト募集
2026-05-12 11:00:00,Area 30 Open,30지역 개방,エリア30開放
2026-05-25 04:00:00,Hiyori Eleph Farming,히요리 조각작,ヒヨリの神名文字
2026-06-17 11:00:00,Trip-Trap-Train (Permanent),Trip-Trap-Train 상시화,Trip-Trap-Train　常設化
2026-06-30 11:00:00,Valentine's Promise (two weeks),발렌타인의 약속 (2주간),バレンタインの約束 (2週間)
2026-07-21 11:00:00,Cyber New Year March (Permanent),전뇌신춘행진곡 상시화,電脳新春行進曲　常設化
2026-08-18 11:00:00,Total Assault Simulation,모의 총력전,模縣能力戰,true
2026-09-08 11:00:00,Tactical Challenge Reset (Outdoor),전술대항전 초기화 (야외),戦術対抗戦リセット (屋外),true
2026-09-08 11:00:00,Rowdy and Cheery (Permanent),와글와글하고 오손도손하게 상시화,にぎにぎと ゆきゆきて　常設化,true
2026-09-15 11:00:00,From Opera 0068 with Love! (Permanent),0068 오페라로부터 사랑을 담아서! 상시화,0068 オペラより愛をこめて！　常設化,true
2026-10-06 11:00:00,-ive aLIVE! (Permanent),-ive aLIVE! 상시화,-ive aLIVE! 常設化,true
2026-10-13 11:00:00,"Add Bond Gear of Iroha, Karin(Bunny Girl), Ayane","이로하, 카린(바니걸), 아야네의 애용품 추가",イロハ、カリン(バニーガール)、アヤネの「愛用品」追加
2026-10-27 11:00:00,Sheside outside,Sheside outside 상시화,Sheside outside 常設化,true
2026-11-17 11:00:00,Pity System Changes,천장 시스템 변경,募集のリニューアル,true
2026-11-17 11:00:00,Added Virtual Aptitude Test and Insight Awakening,가상 적성 시험 및 심상 개화 추가,「仮想適性試験」・「深想開花」を追加,true
